job_title,company_name,company_linkedin_link,company_location,company_image,work_method,post_date,applicants,work_time
(Junior / Senior) Android / Kotlin Developer (w/m/d) - Mein dm-App,dmTECH GmbH,https://www.linkedin.com/company/dmtech-gmbh/life/,Germany,https://media-exp1.licdn.com/dms/image/C4D0BAQF5Hhx9_k9aNg/company-logo_100_100/0/1558353313776?e=1676505600&v=beta&t=f5z7WcWF4l9_v9Mz8-QtKIwQ6dqUoCanDzr5CEu2mPk,Remote,3 days ago,80 applicants,Full-time · Associate
Senior Android Engineer (m/f/d),C&A,https://www.linkedin.com/company/c&a/life/,Germany,https://media-exp1.licdn.com/dms/image/C4E0BAQF5XT08UG7Z2A/company-logo_100_100/0/1656657371422?e=1676505600&v=beta&t=zal6BVqjzuE_h5L_rWWk3ADnPVZY3xh05ZMckHTbdLM,Remote,1 week ago,70 applicants,Full-time · Mid-Senior level
Mid Android Software Engineer - Mobile,kevin.,https://www.linkedin.com/company/kevineu/life/,European Union,https://media-exp1.licdn.com/dms/image/C4E0BAQGso7stzraSAA/company-logo_100_100/0/1661939775983?e=1676505600&v=beta&t=Shwd-b9BLWU2heDnV6sBvLxFVBKns432-dmbCMepem0,Remote,2 days ago,64 applicants,Full-time · Mid-Senior level
Mid Android Software Engineer - Mobile,kevin.,https://www.linkedin.com/company/kevineu/life/,European Union,https://media-exp1.licdn.com/dms/image/C4E0BAQGso7stzraSAA/company-logo_100_100/0/1661939775983?e=1676505600&v=beta&t=Shwd-b9BLWU2heDnV6sBvLxFVBKns432-dmbCMepem0,Remote,1 month ago,45 applicants,Full-time · Mid-Senior level
Mobile / Full-Stack Developer (f/m/d),Thryve,https://www.linkedin.com/company/thryvehealth/life/,"Berlin, Berlin, Germany",https://media-exp1.licdn.com/dms/image/C4D0BAQFoZkUJbUJVQQ/company-logo_100_100/0/1558615576682?e=1676505600&v=beta&t=sJiL0r4-XcWr3sk-ueSkaq-XerX74hGV6Z4t6fAdUww,Remote,6 months ago,82 applicants,Full-time · Entry level
Android Mobile Developer (f/m/d),DoctorBox,https://www.linkedin.com/company/doctorbox/life/,"Berlin, Berlin, Germany",https://media-exp1.licdn.com/dms/image/C4E0BAQHpsVxjMny1dA/company-logo_100_100/0/1519879567355?e=1676505600&v=beta&t=PhmIZeeFbhJC65nV_2190f6zUaJh8aUbaTEAT-G9MQw,Remote,3 days ago,36 applicants,Full-time · Entry level
"Android Developer - Healthcare, Fully Remote!",Oliver Bernard,https://www.linkedin.com/company/oliverbernard/life/,"Berlin, Germany",https://media-exp1.licdn.com/dms/image/C4D0BAQHgIGQd_-1HXw/company-logo_100_100/0/1625210252348?e=1676505600&v=beta&t=uF7YPk6N764RFT2AO4LixPLu1A89gbefFbGSrmtvAYo,Remote,27 minutes ago,6 applicants,"€50,000/yr - €80,000/yr · Full-time · Mid-Senior level"
Senior Mobile Developer Flutter (m/f/d),OWWN,https://www.linkedin.com/company/owwnapp/life/,"Berlin, Berlin, Germany",https://media-exp1.licdn.com/dms/image/D4E0BAQEKJ3sSRTa_Hg/company-logo_100_100/0/1666501826824?e=1676505600&v=beta&t=KxqR9HaIDogr7BtAfqU81Of6GZf8Cu1K4J3eK8iUgzY,Remote,1 month ago,26 applicants,Full-time · Mid-Senior level
Mobile Developer (d/f/m) for Team Lead REMOTE,Selby Jennings,https://www.linkedin.com/company/selby-jennings/life/,Germany,https://media-exp1.licdn.com/dms/image/C4E0BAQFiwhyxAm1wDg/company-logo_100_100/0/1659435954071?e=1676505600&v=beta&t=fMWZqZeRyjv7Cu1cRjfFk6L7jhSozNevMIVrYArugUQ,Remote,6 days ago,36 applicants,Full-time
Apps (Mobile) Engineer (m/f/d),Usercentrics,https://www.linkedin.com/company/usercentrics/life/,European Union,https://media-exp1.licdn.com/dms/image/C4D0BAQF-yMfGX2fGfw/company-logo_100_100/0/1617121145768?e=1676505600&v=beta&t=_L145XXCY_9Rjwuybj3l8Y2QHQvJUd1m4QYdVcNG8GI,Remote,1 hour ago,ERR,Full-time · Mid-Senior level
Android Mobile Software Engineer (Apps) - Remote Germany,Scandit,https://www.linkedin.com/company/scandit/life/,"Berlin, Berlin, Germany",https://media-exp1.licdn.com/dms/image/C4E0BAQHQQv8qQKkYag/company-logo_100_100/0/1661246668720?e=1676505600&v=beta&t=jJOMsoQFG0MSml-FLTnH7f4rQvPF8upVZru38tqVAXk,Remote,4 days ago,45 applicants,Full-time · Entry level
Senior Software Engineer- Frontend (Open to remote),"New Relic, Inc.",https://www.linkedin.com/company/new-relic-inc-/life/,"Berlin, Berlin, Germany",https://media-exp1.licdn.com/dms/image/C560BAQFynHKalkhP7Q/company-logo_100_100/0/1657556874648?e=1676505600&v=beta&t=4w1S1l1LplXOLrNgtUcN_QnXGfGm3HJs6i9h3yMBY74,Remote,5 days ago,25 applicants,Full-time · Mid-Senior level
"Senior Mobile Engineer, Grafana On call - (Remote, EMEA)",Grafana Labs,https://www.linkedin.com/company/grafana-labs/life/,EMEA,https://media-exp1.licdn.com/dms/image/C560BAQEeR2rMWKT1PQ/company-logo_100_100/0/1656691340414?e=1676505600&v=beta&t=s_0yIXZjsMP0Kxzg9f_hnx_1zqf5BOthTbXqTtdgzNo,Remote,1 week ago,ERR,Full-time · Mid-Senior level
